Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun,kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten,kemendagri_nama_kabupaten,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,Tahun ,"produksi
","Produksi
",province,production,productivity,harvest_area,year,﻿38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,komoditas,produksi,satuan,tahun,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_padi,kode_kecamatan,nama_kecamatan,produktivitas_komoditas,Provinsi,Year,Yield.Areal(ha),Productivity(kw/ha),Production.(ton)
Susukan,2165.0,12971.0,60.0,100.0,323.0,32.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1502.0,9369.0,62.0,15.0,47.0,32.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,317.0,2168.0,68.0,425.0,1398.0,33.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2586.0,17033.0,66.0,5.0,17.0,34.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2107.0,13242.0,63.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarnegara,947.0,5753.0,61.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,325.0,1896.0,58.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,376.0,2245.0,60.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,1067.0,6302.0,59.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarmangu,1499.0,9186.0,61.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanadadi,1533.0,9402.0,61.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1464.0,9015.0,62.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,159.0,8904.0,56.0,1.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karangkobar,891.0,4473.0,50.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagentan,822.0,4341.0,53.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pejawaran,212.0,955.0,45.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batur,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanayasa,440.0,1951.0,44.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalibening,1419.0,8028.0,57.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanarum,1029.0,5758.0,56.0,0.0,0.0,0.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,2127.0,1353.0,64.0,191.0,830.0,44.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1469.0,9237.0,63.0,12.0,50.0,40.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,3003.0,19976.0,67.0,399.0,1811.0,45.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2568.0,17089.0,67.0,124.0,539.0,43.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2229.0,14455.0,65.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarnegara,858.0,5292.0,62.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,326.0,1958.0,60.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,303.0,1871.0,62.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,806.0,4941.0,61.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarmangu,159.0,9838.0,62.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanadadi,1377.0,8584.0,62.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1469.0,905.0,62.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,159.0,9301.0,59.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karangkobar,607.0,3414.0,56.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagentan,535.0,3065.0,57.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pejawaran,227.0,1203.0,53.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batur,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanayasa,317.0,1371.0,43.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalibening,1288.0,7117.0,55.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanarum,763.0,4254.0,56.0,0.0,0.0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,1981.0,14065.0,71.0,210.0,105.0,50.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1543.0,11187.0,73.0,35.0,175.0,50.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,3186.0,25934.0,81.0,290.0,145.0,50.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2605.0,2058.0,79.0,130.0,650.0,50.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2016.0,15523.0,77.0,75.0,375.0,50.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarnegara,857.0,617.0,72.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,295.0,213.0,72.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,307.0,2395.0,78.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,1183.0,8636.0,73.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarmangu,1102.0,7769.0,70.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanadadi,1521.0,11103.0,73.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1628.0,10761.0,66.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,1666.0,10662.0,64.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karangkobar,494.0,3013.0,61.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagentan,493.0,2712.0,55.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pejawaran,219.0,1007.0,46.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batur,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanayasa,240.0,1176.0,49.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalibening,1298.0,7788.0,60.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanarum,948.0,4835.0,51.0,0.0,0.0,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,252.0,18648.0,74.0,150.0,675.0,45.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1559.0,11303.0,73.0,50.0,225.0,45.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,3398.0,2766.0,81.0,200.0,700.0,35.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2542.0,20082.0,79.0,157.0,628.0,40.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
